#,Nombre,Alergias,Complejidad_receta,Costo_receta,Tiempo_de_comida,Calorias,Ingredientes,Pasos
1,Espaguetis de calabacin revuelto de setas,Mariscos,Dificil,70,Almuerzo,1250,Setas variadas/4 huevos/2 calabacines/1 cebolla morada/1 diente de ajo/7 tallos de cebollino/Albahaca y oregano/4 cucharadas de aceite de oliva/Pimienta y sal,"Paso 1. Lava los calabacines, despuntalos y cortalos en espirales o en tiras finas y alargadas con una mandolina./Paso 2. Escalda las espirales de calabacin en agua hirviendo con sal durante 2 minutos./Paso 3. Escurrelas y sumergelas rapidamente en un bol con agua muy fria. Escurrelas de nuevo y reserva./Paso 4. Pela la cebolla, cortala en tiras y sofrielas en una sarten amplia con 2 cucharadas de aceite 8-10 minutos a fuego suave./Paso 5. A�ade las espirales de calabacin, salpimienta y saltea unos instantes. Agrega la mitad del cebollino picado./Paso 6. Trocea las setas mas grandes, y pela y pica el diente de ajo. Calienta una sarten con el aceite restante y saltea las setas 2 minutos./Paso 7. Agrega el ajo picado, salpimienta y cocina un par de minutos mas./Paso 8. Bate los huevos, salalos y viertelos en la sarten con las setas. Deja que cuajen a fuego lento, removiendo./Paso 9. Con ayuda de un aro de emplatar, reparte los espaguetis de calabacin en los platos formando un nido. Espolvorea con el cebollino picado./El truco: A�ade un chorrito de leche evaporada, al batir los huevos, para que resulte aun mas meloso."
2,Ensalada de naranja con queso y pistachos,Carnes,Facil,50,Cena,1100,200 gramos de escarola/50 gramos de rucula (sustituye escarola y rucula por la lechuga que tengas)/2 naranjas/300 gramos de rulo de queso de cabra (rebaja calorias con queso fresco)/50 gramos de pistachos/5 cucharadas de aceite de oliva virgen/1 cucharada de vinagre de jerez/Cebollino (opcional)/Sal,"Paso 1. Trocea, lava y seca la escarola. Lava y seca la rucula./Paso 2. Corta una naranja y media en gajos y retira la piel. Exprime la mitad restante para extraer el zumo./Paso 3. Lava, seca y pica el cebollino./Paso 4. Pela y pica los pistachos./Paso 5. Prepara la vinagreta mezclando cuatro cucharadas de aceite con el vinagre, dos cucharadas de zumo de naranja, una pizca de sal y dos cucharadas de cebollino picado./Paso 6. Retira la corteza del rulo de queso de cabra, corta el queso en trozos, untate las manos con aceite para formar bolitas y rebozalas con los pistachos picados./Paso 7. Reparte los ingredientes en los platos y ali�a con la vinagreta."
3,Ensalada de aguacate,Carnes,Media,45,Almuerzo,1000,1 bolsa de brotes tiernos/8 fresones/32 fresas/16 tomates Cherry/1 aguacate/1 datil/Medio limon/1 naranja/1 cucharada de aceite de oliva/1 cucharada de semillas de amapola/Pimienta negra recien molida,"Paso 1. Exprime la naranja y mezcla su zumo, el aceite de oliva, el datil sin semilla y un pellizquito de pimienta negra recien molida en la batidora. Bate hasta obtener una mezcla suave y a�ade las semillas de amapola al final./Paso 2. Pela el aguacate, retirale el hueso y corta su pulpa en cubitos de unos 2 cm. Rocialos con zumo de limon para que no se oxiden./Paso 3. Corta los tomates cherry en mitades y los fresones en mitades o cuartos, dependiendo del tama�o que tengan./Paso 4. Monta los platos. Divide mentalmente el plato en 4 partes, como si fuera la esfera de un reloj, y pon en una los brotes tiernos de ensalada, en otra los tomates, en otra los fresones y en otra el aguacate./Paso 5. Decora la ensalada con las fresas y acompa�ala de la vinagreta de naranja con semillas de amapola."
4,Pure de Coliflor,Frutos Secos,Dificil,35,Almuerzo,950,2 patatas/200 gramos de coliflor/70 gramos de judias verdes/100 gramos de salmon ahumado/4 cucharadas de yogur griego/Eneldo picado/50 gramos de mantequilla/1 pizca de nuez moscada/Sal/Pimienta,"Paso 1. Limpia la coliflor, lavala y separala en ramitos./Paso 2. Pela las patatas y trocealas. Cuece las patatas y la coliflor en agua salada 15 min. Escurre, aplasta y mezcla con la mantequilla, el eneldo, la pimienta y la nuez moscada./Paso 3. Limpia las judias, cortalas y cuecelas en agua con sal 12 min. Escurrelas y mezclalas con el pure./Paso 4. Rellena con el pure un aro de reposteria sobre un plato. Presiona ligeramente con el dorso de una cuchara y retira el aro con cuidado."
5,"Pasta con jamon, esparragos y alcachofas",Frutos Secos,Facil,55,Almuerzo,1000,Esparragos verdes/Pasta corta/1 limon/Alcachofas/Jamon serrano (puedes sustituir por fiambre de pavo)/Almendras/Ajo/Perejil/Sal y aceite,"Paso 1. Limpia, lava y corta en gajos 4 alcachofas. Cuecelas en agua salada y con el zumo de limon, durante 10 minutos./Paso 2. Cuece 350 gramos de pasta en agua salada, hasta que este al dente. Escurrela./Paso 3. Limpia un manojo de esparragos, lavalos y saltealos 2 min en un fondo de aceite./Paso 4. Mezcla el ajo pelado y picado con 20 gramos de almendras y las alcachofas escurridas./Paso 5. Sazona, a�ade la pasta y sirve con unas lonchas de jamon y perejil."
6,Crema de Zanahoria,Frutos Secos,Media,45,Cena,1100,Medio kg de zanahorias/1 cebolla/2 naranjas/60 gramos de mantequilla/1 cucharada de harina/400 ml de caldo de pollo/100 ml de nata liquida baja en grasas/50 gramos de queso parmesano rallado/20 gramos de pi�ones/Sal/Pimienta,"Paso 1. Pela la cebolla y las zanahorias, y trocealas. Rehoga la primera en la mantequilla 2 min. A�ade la zanahoria, espolvorea con la harina, vierte el caldo, salpimenta y cuece 10 min./Paso 2. Pica los pi�ones y mezclalos con el queso. Forma los crujientes de queso fundiendo 4 cucharadas de la mezcla en una sarten. Haz 8 crujientes. Este paso es opcional, prescinde de el si no tienes ingredientes o si no te quieres complicar./Paso 3. Tritura la verdura, a�ade el zumo de las naranjas y la nata a la crema de zanahoria, ajusta de sal y remueve./Paso 4. Reparte la crema en 4 cuencos y sirvela decorada con los crujientes de queso y pi�ones."
7,Ensalda Cesar,Mariscos,Facil,75,Cena,1350,125 gr de pechuga de pollo/400 gr de espinacas tiernas/75 gr de queso parmensano/1 huevo/1 diente de ajo/3 cucharadas de zumo de limon/3 cucharadas de vinagre/Aceite de oliva virgen extra/Sal/Pimienta negra,"Paso 1. Pela el ajo y dejalo macerar en aceite de oliva durante 3 horas. /Paso 2. Cuece el huevo en agua salada durante 12 minutos, refrescalo en agua fria y pelalo. /Paso 3. Retira el ajo del aceite y a�ade el huevo troceado, el vinagre, el zumo de limon y una pizca de pimienta. Tritura todo hasta conseguir una salsa homogenea./Paso 4. Salpimienta la pechuga de pollo y hazla a la plancha. Cortala en tiras finas. /Paso 5. Lava las espinacas y trocealas. /Paso 6. En una ensaladera pon las espinacas y el pollo. /Paso 7. A�ade queso cortado, ali�a con la salsa preparada y sirve."
8,Carpaccio de pepino con sardinas,Carnes,Dificil,80,Cena,1150,2 pepinos/12 sardinas limpias y partidas en filetes (puedes usar sardinillas en conserva)/75 gramos de queso de cabra o feta/1 limon/Pimienta/6 cucharadas de aceite de oliva/2 cucharadas de vinagre de Jerez/Alcaparras/1 ramita de menta/Sal,"Paso 1. Lava las sardinas, ponlas en una fuente y rocialas con el zumo de limon. Tapalas con film transparente y dejalas macerar en la nevera durante 3 h. Puedes optar por sardinas o sardinillas en aceite o limon en conserva./Paso 2. Mientras, prepara la vinagreta: bate el aceite con el vinagre y una pizca de sal hasta obtener una salsa. A�ade la menta picada y 2 cucharadas de alcaparras./Paso 3. Lava el pepino, cortalo en rodajas finas (con cuchillo y paciencia o con mandolina) y colocalas en un plato, superponiendolas./Paso 4. Escurre las sardinas, trocealas y a�adelas./Paso 5. Aromatiza con pimienta, ali�a con la vinagreta y sirvelo espolvoreado con el queso."
9,Pasta con Aguacate y albahaca,Frutos Secos,Dificil,65,Almuerzo,1250,320 gramos de macarrones integrales/1 aguacate/50 gramos de aceitunas negras/Un pu�ado de hojas de albahaca/Medio limon/4 cucharadas de aceite de oliva/40 gramos de queso parmesano/Sal y pimienta,"Paso 1. Pela el aguacate, partelo por la mitad y retira el hueso. Tritura la pulpa en el vaso de la batidora, junto con el zumo del medio limon, 3 cucharadas de agua, sal y pimienta./Paso 2. Prepara el aceite de albahaca. Lava un pu�ado de hojas de albahaca y trituralas con el aceite de oliva y una pizca de sal./Paso 3. Corta las aceitunas deshuesadas en rodajas./Paso 4. Saca virutas del queso parmesano con ayuda de un pelador y reservalas./Paso 5. Cuece la pasta en abundante agua salada hasta que este al dente (respeta el tiempo indicado por el fabricante). Escurrela bien y disponla en un cuenco grande./Paso 6. Incorpora la crema de aguacate y remueve unos instantes./Paso 7. Reparte esta preparacion en 4 platos llanos, rociala con el aceite de albahaca, a�ade las aceitunas y sirvela enseguida decorada con las virutas de queso parmesano."
10,Ensalada de arroz,Carnes,Facil,45,Cena,950,Arroz al gusto/Espinacas/Aceitunas/Tomates/Anchoas,"Paso 1. Sofrie una cebolla y un ajo./Paso 2. A�ade el arroz, riega con caldo en la proporcion que necesite la variedad de arroz elegida y deja cocer el tiempo suficiente. /Paso 3. Escurre y sirve./Paso 4. Agrega aceitunas, anchoas, espinacas y tomates troceados./Paso 5. Sirve la ensalada fria, ali�ada con aceite, sal y vinagre balsamico."
